# nodes,no graph,no pair,# ant types,% success/100tests,% partial success,time(s),(mincut,src,dst
30,0,4,3,56.0,37.0,30.64,2.0,0,22
30,0,4,4,50.0,32.0,49.11,2.0,0,22
30,1,0,2,76.0,24.0,11.95,4.0,3,6
30,1,0,3,57.0,43.0,20.68,4.0,3,6
30,1,0,4,16.0,84.0,36.09,4.0,3,6
30,1,1,2,76.0,0.0,17.65,2.0,26,28
30,1,1,3,60.0,33.0,32.5,2.0,26,28
30,1,1,4,72.0,25.0,49.79,2.0,26,28
30,1,2,2,99.0,1.0,17.29,2.0,7,15
30,1,2,3,100.0,0.0,31.32,2.0,7,15
30,1,2,4,100.0,0.0,49.5,2.0,7,15
30,1,3,2,89.0,0.0,14.1,2.0,1,7
30,1,3,3,78.0,21.0,26.44,2.0,1,7
30,1,3,4,86.0,13.0,43.54,2.0,1,7
30,1,4,2,100.0,0.0,17.73,2.0,24,0
30,1,4,3,100.0,0.0,31.33,2.0,24,0
30,1,4,4,100.0,0.0,50.75,2.0,24,0
30,2,0,2,68.0,22.0,17.15,2.0,15,28
30,2,0,3,15.0,81.0,31.72,2.0,15,28
30,2,0,4,28.0,66.0,51.31,2.0,15,28
30,2,1,2,5.0,34.0,12.07,2.0,25,27
30,2,1,3,11.0,36.0,24.17,2.0,25,27
30,2,1,4,12.0,35.0,39.04,2.0,25,27
30,2,2,2,81.0,0.0,17.87,2.0,14,25
30,2,2,3,89.0,7.0,29.77,2.0,14,25
30,2,2,4,53.0,41.0,46.92,2.0,14,25
30,2,3,2,100.0,0.0,7.56,8.0,19,7
30,2,3,3,100.0,0.0,17.86,8.0,19,7
30,2,3,4,100.0,0.0,31.87,8.0,19,7
30,2,4,2,86.0,0.0,13.0,2.0,28,12
30,2,4,3,49.0,40.0,25.15,2.0,28,12
30,2,4,4,37.0,38.0,38.91,2.0,28,12
